step,wins,draws,losses,avg_moves,epsilon
10000,1401,4378,4221,7.85,0.3679
20000,4721,4094,1185,7.93,0.1353
30000,6182,3429,389,7.8,0.1
40000,6088,3511,401,7.84,0.1
50000,6153,3439,408,7.81,0.1
60000,6179,3460,361,7.83,0.1
70000,6659,2942,399,7.7,0.1
80000,6710,2886,404,7.66,0.1
90000,6918,2674,408,7.62,0.1
100000,6895,2696,409,7.62,0.1
110000,6742,2801,457,7.64,0.1
120000,7134,2471,395,7.55,0.1
130000,6928,2674,398,7.6,0.1
140000,6999,2550,451,7.57,0.1
150000,6991,2572,437,7.57,0.1
160000,6879,2649,472,7.58,0.1
170000,7037,2516,447,7.56,0.1
180000,6972,2558,470,7.56,0.1
190000,7020,2558,422,7.58,0.1
200000,7015,2565,420,7.57,0.1
