step,wins,draws,losses,avg_moves,epsilon
10000,388,4463,5149,7.63,0.3679
20000,1399,7033,1568,8.36,0.1353
30000,6629,2348,1023,7.42,0.1
40000,4764,4322,914,7.82,0.1
50000,3796,5337,867,8.03,0.1
60000,6541,2457,1002,7.44,0.1
70000,5575,3462,963,7.64,0.1
80000,6529,2415,1056,7.44,0.1
90000,5819,3190,991,7.59,0.1
100000,5763,3172,1065,7.59,0.1
110000,6610,2344,1046,7.42,0.1
120000,6268,2737,995,7.5,0.1
130000,6450,2546,1004,7.46,0.1
140000,6460,2521,1019,7.46,0.1
150000,6415,2523,1062,7.46,0.1
160000,6875,2045,1080,7.36,0.1
170000,7219,1754,1027,7.31,0.1
180000,6260,2734,1006,7.5,0.1
190000,6196,2796,1008,7.52,0.1
200000,6801,2168,1031,7.39,0.1
