step,wins,draws,losses,avg_moves,epsilon
10000,0,10000,0,0.0,0.6005
20000,0,10000,0,0.0,0.3642
30000,0,10000,0,0.0,0.2209
40000,0,10000,0,0.0,0.134
50000,0,10000,0,0.0,0.1
60000,0,10000,0,0.0,0.1
70000,0,10000,0,0.0,0.1
80000,0,10000,0,0.0,0.1
90000,0,10000,0,0.0,0.1
100000,0,10000,0,0.0,0.1
110000,0,10000,0,0.0,0.1
120000,0,10000,0,0.0,0.1
130000,0,10000,0,0.0,0.1
140000,0,10000,0,0.0,0.1
150000,0,10000,0,0.0,0.1
160000,0,10000,0,0.0,0.1
170000,0,10000,0,0.0,0.1
180000,0,10000,0,0.0,0.1
190000,0,10000,0,0.0,0.1
200000,0,10000,0,0.0,0.1
210000,0,10000,0,0.0,0.1
220000,0,10000,0,0.0,0.1
230000,0,10000,0,0.0,0.1
240000,0,10000,0,0.0,0.1
250000,0,10000,0,0.0,0.1
260000,0,10000,0,0.0,0.1
270000,0,10000,0,0.0,0.1
280000,0,10000,0,0.0,0.1
290000,0,10000,0,0.0,0.1
300000,0,10000,0,0.0,0.1
